"Accession" "Tasseling" "Tasseling_GDUb6" "Silking" "Silking_GDUb6" "ASI" "ASI_GDUb6" "DMC" "DM_Yield" "PLHT" "DMC_Flo" "DM_Yield_Flo"
"192" "192" "206.25" "907.48" "207.89" " 926.67" " 1.66920" "19.3438" "34.1326" "15.1593" "248.88" " 1.52490" "-1.022800"
"193" "193" "208.26" "932.28" "210.89" " 961.65" " 2.43090" "26.9564" "28.4650" "16.3950" "266.07" "-2.35170" "-0.237300"
"194" "194" "200.45" "840.59" "201.11" " 847.36" " 0.72350" " 8.7961" "39.5400" "15.0024" "238.15" " 2.12620" "-0.295200"
"195" "195" "202.62" "863.96" "205.12" " 893.37" " 2.21830" "26.0287" "37.5274" "13.9833" "254.40" " 3.17440" "-2.002800"
"196" "196" "206.80" "915.16" "208.94" " 940.11" " 1.99760" "23.4863" "30.1535" "16.0120" "254.22" "-1.94370" "-0.301500"
"197" "197" "202.59" "866.04" "204.50" " 887.13" " 1.95130" "21.3382" "34.8362" "14.0433" "245.82" " 0.33530" "-1.763500"
"198" "198" "203.18" "869.54" "205.56" " 897.93" " 2.17550" "25.1730" "36.8791" "16.1835" "260.99" " 1.94770" " 0.155900"
"199" "199" "206.38" "908.61" "207.44" " 920.42" " 1.30740" "14.1394" "31.0187" "17.3642" "271.44" "-1.88730" " 1.352800"
"200" "200" "205.85" "901.97" "206.98" " 914.99" " 1.07300" "12.5211" "35.4761" "15.2226" "256.84" " 1.65010" "-0.885900"
"201" "201" "205.67" "901.26" "207.36" " 921.05" " 1.64470" "19.2096" "32.1536" "18.0958" "273.12" "-0.84540" " 1.899700"
"202" "202" "201.59" "850.97" "202.92" " 865.87" " 1.36210" "14.7054" "35.9093" "16.2642" "262.02" "-0.03835" " 0.860700"
"203" "203" "202.40" "860.25" "203.57" " 873.34" " 1.20770" "13.5236" "36.9754" "13.0305" "246.13" " 1.36250" "-2.655900"
"204" "204" "208.34" "932.66" "210.90" " 962.63" " 2.36260" "26.3341" "30.7282" "16.6061" "271.32" "-0.46750" " 0.003452"
"205" "205" "201.41" "848.08" "203.41" " 871.65" " 1.88360" "21.8034" "35.7610" "13.8833" "247.86" "-0.47200" "-1.773700"
"206" "206" "201.35" "848.72" "202.56" " 862.25" " 1.57790" "19.0230" "38.5946" "14.0250" "225.31" " 1.97290" "-1.439900"
"207" "207" "202.46" "863.77" "204.58" " 885.44" " 2.17900" "23.0408" "33.5557" "16.1109" "268.07" "-1.53260" " 0.301200"
"208" "208" "202.63" "865.18" "205.39" " 895.07" " 2.72900" "30.0817" "32.6028" "13.5626" "234.31" "-1.71190" "-2.380100"
"209" "209" "202.40" "860.72" "204.23" " 881.56" " 1.77620" "20.5533" "32.3981" "16.0979" "244.57" "-2.99010" " 0.344300"
"210" "210" "207.26" "918.80" "209.66" " 946.75" " 2.04210" "23.2514" "31.2683" "17.2052" "270.86" "-0.56620" " 0.720800"
"211" "211" "198.44" "816.57" "199.41" " 827.52" " 1.06900" "11.6366" "38.1104" "12.4288" "231.82" "-0.21830" "-2.464300"
"212" "212" "205.63" "899.23" "207.21" " 919.30" " 1.61730" "18.9567" "33.0340" "16.1236" "260.28" " 0.33950" "-0.099670"
"213" "213" "204.91" "890.03" "206.46" " 907.91" " 1.61370" "18.7120" "34.0090" "14.9380" "243.44" " 0.06576" "-1.146900"
"214" "214" "202.38" "859.42" "204.46" " 882.74" " 1.97220" "22.4048" "35.4156" "15.2082" "259.49" " 0.05886" "-0.519500"
"215" "215" "204.74" "888.57" "207.61" " 921.84" " 2.76910" "31.8695" "33.1478" "15.5291" "265.39" "-0.32140" "-0.707700"
"216" "216" "204.68" "887.64" "207.18" " 916.92" " 2.14240" "24.4481" "35.1744" "17.4881" "267.78" " 1.43680" " 1.311200"
"217" "217" "208.99" "938.76" "211.53" " 967.64" " 2.43710" "26.2399" "28.8239" "18.2944" "266.80" "-1.89580" " 1.617200"
"218" "218" "203.34" "873.67" "203.91" " 879.08" " 0.68140" " 7.6076" "35.6955" "16.7673" "249.25" " 0.81950" " 0.927900"
"219" "219" "202.42" "860.50" "204.02" " 878.83" " 1.73810" "19.5552" "37.2489" "16.3657" "256.11" " 1.87070" " 0.649900"
"220" "220" "208.26" "928.91" "209.76" " 947.11" " 1.72020" "18.9996" "32.5087" "18.0591" "256.40" " 0.86200" " 1.901100"
"221" "221" "205.28" "896.94" "205.83" " 901.97" " 0.83550" " 8.7813" "34.6683" "15.7956" "255.56" " 0.28980" "-0.079800"
"222" "222" "205.21" "894.58" "207.14" " 915.75" " 2.27120" "25.9570" "30.8974" "14.0742" "257.89" "-1.81110" "-1.960700"
"223" "223" "202.73" "863.84" "204.10" " 880.50" " 1.42210" "16.6443" "34.8799" "15.8034" "241.58" "-0.16550" " 0.089950"
"224" "224" "207.80" "925.23" "210.02" " 949.54" " 1.88490" "20.1696" "30.3292" "18.7048" "265.80" "-1.12360" " 2.238500"
"225" "225" "208.33" "931.75" "210.06" " 951.23" " 1.48080" "16.0587" "30.6855" "16.4236" "271.23" "-0.95160" "-0.216900"
"226" "226" "202.24" "859.89" "204.64" " 885.08" " 2.37480" "27.2243" "34.9525" "15.1071" "240.33" "-0.21800" "-0.796400"
"227" "227" "206.09" "905.11" "207.22" " 918.27" " 1.11880" "12.4619" "32.9769" "17.9813" "259.06" "-0.02756" " 1.866600"
"228" "228" "205.70" "900.30" "207.91" " 926.27" " 2.15070" "24.0828" "32.7044" "17.2291" "265.79" " 0.09115" " 0.983000"
"229" "229" "206.11" "905.72" "207.79" " 925.66" " 1.69860" "18.8656" "31.9491" "16.2213" "264.87" "-0.67890" "-0.076230"
"230" "230" "201.95" "854.70" "203.55" " 872.92" " 1.63350" "19.7637" "34.2412" "15.7073" "260.15" "-1.83580" "-0.022090"
"231" "231" "203.78" "877.66" "206.90" " 913.62" " 2.92960" "33.0055" "33.7619" "15.6974" "252.87" " 0.12010" "-0.461000"
"232" "232" "201.81" "854.19" "202.49" " 862.25" " 0.94240" "11.2789" "36.5037" "14.7202" "254.75" " 0.48590" "-0.799000"
"233" "233" "205.02" "892.87" "206.77" " 912.19" " 2.15400" "24.2659" "37.9544" "15.9620" "251.63" " 4.22840" "-0.064100"
"234" "234" "207.16" "916.73" "207.82" " 924.16" " 0.54860" " 6.8439" "33.4336" "18.1966" "269.83" " 0.43250" " 1.983100"
"235" "235" "207.12" "917.42" "209.34" " 941.48" " 1.96430" "21.4147" "32.3453" "18.2012" "264.06" " 0.04633" " 1.739800"
"236" "236" "207.87" "925.96" "210.25" " 954.22" " 2.26480" "26.1160" "29.7989" "17.0166" "265.18" "-1.50140" " 0.494900"
"237" "237" "206.28" "907.54" "208.04" " 928.14" " 1.95170" "22.2953" "32.0619" "15.5997" "264.56" "-0.33690" "-0.696600"
"238" "238" "208.58" "933.93" "211.92" " 972.50" " 3.15130" "35.1521" "29.4575" "15.4078" "270.25" "-1.17270" "-1.129600"
"239" "239" "201.45" "848.95" "203.28" " 868.69" " 1.95050" "21.1880" "35.9528" "15.3130" "237.54" "-0.60200" "-0.320200"
"240" "240" "203.71" "875.96" "206.02" " 903.00" " 2.35150" "27.4171" "37.4132" "14.2466" "236.51" " 2.93900" "-1.778000"
"241" "241" "206.13" "904.55" "208.80" " 936.44" " 2.85250" "32.5703" "30.4397" "13.7880" "247.29" "-1.66840" "-2.490500"
"242" "242" "209.58" "947.17" "211.13" " 965.07" " 1.37840" "15.6150" "33.4724" "16.9237" "274.15" " 2.35960" " 0.146600"
"243" "243" "204.07" "880.87" "205.72" " 900.34" " 1.46950" "16.5332" "32.4367" "14.5463" "244.04" "-1.83630" "-1.474600"
"244" "244" "213.83" "995.32" "214.58" "1005.38" " 0.82180" " 8.5723" "28.1441" "19.6615" "268.84" "-0.31000" " 2.387400"
"245" "245" "207.22" "919.30" "208.13" " 930.15" " 0.78550" " 9.7664" "34.4405" "15.2554" "265.53" " 1.51590" "-1.073500"
"246" "246" "202.27" "860.90" "202.99" " 868.04" " 0.84500" " 8.9202" "36.3361" "14.5411" "255.39" " 0.09868" "-1.108200"
"247" "247" "205.44" "897.06" "208.35" " 931.10" " 2.86400" "33.5459" "30.9813" "14.3155" "256.99" "-1.73060" "-2.009400"
"248" "248" "209.61" "943.18" "211.13" " 961.40" " 1.60300" "17.5710" "31.2076" "17.7353" "284.97" "-0.14530" " 1.160800"
"249" "249" "205.61" "898.39" "207.64" " 922.86" " 2.11900" "24.6348" "33.1617" "15.8500" "268.04" " 0.06174" "-0.356000"
"250" "250" "201.94" "855.90" "203.57" " 873.69" " 1.57240" "17.4925" "32.9330" "15.3734" "244.64" "-2.32660" "-0.300300"
"251" "251" "199.75" "832.80" "201.42" " 849.85" " 1.23760" "13.6723" "37.5153" "13.2123" "238.02" " 0.20790" "-2.264400"
"252" "252" "205.71" "901.16" "207.28" " 918.57" " 1.62560" "17.1941" "31.6833" "15.6989" "258.99" "-1.72100" "-0.370000"
"253" "253" "202.35" "861.45" "204.46" " 885.08" " 2.27460" "26.0239" "36.3317" "12.2261" "244.01" " 1.30870" "-3.492900"
"254" "254" "201.95" "856.23" "202.51" " 861.11" " 0.52910" " 5.3841" "37.3237" "12.9873" "246.44" " 1.34790" "-2.685500"
"255" "255" "203.18" "870.79" "206.02" " 904.16" " 2.08160" "24.2345" "30.5385" "13.8774" "245.17" "-3.96950" "-2.279500"
"256" "256" "203.25" "871.77" "205.07" " 893.04" " 1.83780" "23.4693" "34.9114" "16.3377" "246.64" " 0.26630" " 0.495900"
"257" "257" "204.09" "879.97" "206.15" " 903.59" " 2.06380" "23.0878" "32.9632" "15.4853" "245.58" "-1.13140" "-0.503000"
"258" "258" "199.49" "827.86" "200.43" " 837.14" " 0.93690" "11.1992" "39.1474" "14.0672" "230.72" " 0.94380" "-1.213000"
"259" "259" "207.49" "921.42" "211.47" " 968.80" " 3.58530" "41.6074" "30.1552" "14.9348" "257.13" "-0.65950" "-1.807100"
"260" "260" "212.49" "979.14" "214.73" "1008.23" " 2.32130" "27.8540" "26.0074" "16.7702" "280.32" "-3.03550" "-0.237400"
"261" "261" "205.11" "894.18" "206.10" " 903.93" " 1.11420" "12.1556" "32.4422" "15.9760" "256.67" "-1.34540" "-0.011210"
